indices,x,y,localized_index,localized_x,localized_y,localized_chi_sq
0,78.91755392981976,72.2861184242429,0.0,78.9175535411124,72.2861185158723,6.531945103815244e-05
0,80.04374211630183,71.24226054378164,0.0,80.04374234741285,71.2422605135778,3.136250021941455e-05
0,80.79172688738969,63.8078202638536,0.0,80.79172692268965,63.80782025920522,6.714991311767593e-05
0,66.6865635735792,72.92775018789649,0.0,66.68656353123981,72.92775008746162,3.947112105265847e-05
0,72.63965282803649,72.43847938862078,0.0,72.6396527425019,72.43847936050217,9.711921261966806e-05
0,66.33944734307727,74.03150621596134,0.0,66.33944736306076,74.03150608321513,5.479713285267729e-05
0,83.15906073320434,66.16361060319493,0.0,83.15906071743174,66.16361063138301,2.224853904819572e-05
0,87.1108989115468,69.78800584889595,0.0,87.1108975461087,69.78800603463293,9.699336732111975e-05
0,74.530049985548,73.11221161797133,0.0,74.53005000854591,73.11221156905947,4.036771525518616e-05
0,91.15888736580368,68.85825947509933,0.0,91.15888736261934,68.85825949660956,1.7403432885912045e-05
1,67.56565833165187,78.48588632956901,1.0,67.56565836326885,78.48588636647055,1.3864024530415173e-05
1,75.67305168075657,77.41757716633441,1.0,75.6730517114095,77.41757722274824,1.6240204199447977e-05
1,67.54121261382933,84.94964531929028,5.0,71.52470729854495,56.8670826021088,542283507.2096854
1,70.16134260442888,82.76284437395785,1.0,70.16134261375403,82.76284433928836,3.632187484271104e-05
1,77.48431504576229,73.03967099501361,1.0,77.48431520653438,73.03967134601021,6.889217702199306e-05
1,74.338731257558,75.82441923673521,1.0,74.33873129589252,75.82441921490283,8.328748491772405e-05
1,76.72205465104017,73.67845630668066,1.0,76.72205478276307,73.67845661845938,6.336841066514191e-05
1,67.22207057487421,81.41570871838246,1.0,67.22207052973526,81.41570863346843,5.515194266275798e-05
1,74.15908244498624,74.31201627153108,1.0,74.1590824782698,74.3120164181536,4.8225945593015605e-05
1,62.766066217725225,86.39462130682548,1.0,62.76606632104643,86.39462146020765,7.71844187641337e-06
2,109.53317864709638,96.04014252154651,2.0,109.5331785739021,96.04014255253271,5.329224339106416e-05
2,105.10804947281264,90.47782042555296,2.0,105.10804949473196,90.4778204546522,7.252351970762556e-05
2,113.56525456647792,99.12913585386228,2.0,113.5652546435857,99.12913579759932,3.5408608506197474e-05
2,105.45035057006562,88.65625888360101,2.0,105.45035056165196,88.65625887068806,1.3057889304080372e-05
2,107.5111205724246,90.81370123031569,2.0,107.51112055281097,90.81370118960996,9.978727152420636e-05
2,110.94365820669113,90.3535935906259,2.0,110.94365821681596,90.3535936337183,8.638388555907114e-05
2,99.24224814246736,82.18051473188687,2.0,99.2422481798736,82.18051472565125,3.2902369006626915e-05
2,106.12688859097544,89.85779438869548,2.0,106.12688856485762,89.85779442381707,1.2121874262780578e-05
2,113.65980238379674,100.0332862190719,2.0,113.6598023138205,100.03328623134456,9.000897976231893e-05
2,99.4350372919154,83.67774427373524,2.0,99.43503733360872,83.67774422415071,1.889382955757093e-05
3,60.63930250404688,71.36777791305843,3.0,60.639302762662176,71.3677775983403,3.660633841123198e-05
3,56.43289091717274,67.6308192975167,3.0,56.432891115117854,67.63081911918428,2.46979142855307e-05
3,54.45286362260799,66.68820785495146,3.0,54.45286331842311,66.6882081377623,5.087016457271716e-05
3,67.828105457374,57.72001259445982,3.0,67.82810564042755,57.72001241528446,9.03121965315683e-05
3,68.74995109970666,57.51944857445186,3.0,68.74995133268223,57.51944826811966,7.174814684844523e-05
3,70.97899740382171,58.131321458080606,3.0,70.97899746560851,58.131321301168576,9.903361679027346e-05
5,71.55849584828863,58.65580597454472,5.0,71.55849588488567,58.65580605065495,5.31545474740584e-05
5,71.06372118579145,69.1526049974707,5.0,71.0637211380472,69.15260497487746,2.5915741838655224e-05
5,73.92886470727302,65.01778962695147,5.0,73.92886471716808,65.01778964886725,7.216952755935769e-06
5,67.82843664654786,73.76282512305852,5.0,67.82843661526512,73.76282503532902,8.538420236928362e-05
5,79.27952903935986,60.25514734783199,5.0,79.27952904695218,60.25514733963711,5.883058682668463e-06
4,106.54032008122007,74.7469124322192,4.0,106.5403200909562,74.7469123500051,1.4091953142586483e-05
4,109.05974561427048,71.70766581899812,4.0,109.05974555096977,71.70766589033992,7.560409818856138e-06
4,92.81006581806264,81.0533501309479,4.0,92.81006579464102,81.05335013056526,4.424375160266835e-05
