indices,x,y,localized_index,localized_x,localized_y,localized_chi_sq
0,76.4281803683129,71.10393819882628,0.0,76.42818041085579,71.10393825270879,4.5073092450184295e-05
0,86.8471175134253,70.2756103811636,0.0,86.84711817729244,70.27561027986232,4.159514219530778e-05
0,81.04060579194918,71.82546272283021,0.0,81.0406062002412,71.82546266014772,2.973278568499729e-05
0,83.22450595592538,70.53205677496194,0.0,83.22450434141933,70.53205685793411,9.073267051374136e-05
0,66.38415789570078,72.72044649674007,0.0,66.38415791614607,72.72044646405331,9.673095489751494e-06
2,93.5510851154445,78.73123076341057,2.0,93.55108516961776,78.73123073867546,6.422892740005035e-05
2,89.38386538335143,80.89475295635484,2.0,89.38386538167386,80.8947529157385,8.483984514067593e-05
2,81.78579718025496,72.4640824319138,2.0,81.78579715418806,72.46408247690758,6.864412404683841e-05
2,86.03031893538775,71.45780156757682,2.0,86.03031880132326,71.4578015934548,4.538770574571276e-06
3,86.36073470818692,71.88778135964984,3.0,86.3607347458317,71.88778140299691,1.9802051214089577e-05
3,84.44416490386986,71.70855124380789,3.0,84.44416490693294,71.70855122339226,2.4947297337565143e-05
3,88.17068070157589,73.73969544142366,3.0,88.17068073310242,73.73969543751399,5.1430665402255736e-05
4,91.1965667375262,76.61765486801801,4.0,91.19656672029772,76.6176548508265,1.2653432894743978e-05
5,82.72313306998922,64.08610244183328,5.0,82.7231330707989,64.08610239375069,5.982153827833145e-05
