indices,x,y,localized_index,localized_x,localized_y,localized_chi_sq
0,67.22561783145142,72.83653950135216,2.0,67.2256178825372,72.83653949160075,1.5811071379847466e-05
0,71.56409822496352,72.44288727077705,4.0,71.56409821497465,72.44288726698059,1.1152393670013636e-06
0,78.01305760618493,72.83049233296416,1.0,78.01305753779823,72.83049232911888,1.5642516975429215e-05
0,76.4281803683129,71.10393819882628,0.0,76.42818041085579,71.10393825270879,4.5073092450184295e-05
0,86.8471175134253,70.2756103811636,0.0,86.84711817729244,70.27561027986232,4.159514219530778e-05
0,81.0936020549969,64.58656141165751,2.0,94.5141930024672,79.6310260841765,173807380614.5568
0,98.5271590845196,71.20912180328641,5.0,98.52715910086918,71.20912180489282,2.137079000655989e-06
0,81.04060579194918,71.82546272283021,0.0,81.0406062002412,71.82546266014772,2.973278568499729e-05
0,83.22450595592538,70.53205677496194,0.0,83.22450434141933,70.53205685793411,9.073267051374136e-05
0,78.83444403568058,72.33712315394283,1.0,78.83444411949948,72.33712315453577,1.4306200944681418e-05
1,76.10510553984183,73.05402782231212,5.0,76.10510545994157,73.05402782650032,1.3643999810476409e-05
1,99.26257659910291,71.89115374722746,5.0,99.26257667188526,71.89115376950618,1.6041724280836316e-05
1,77.92696807338405,71.03411106010475,1.0,77.92696777057978,71.03411104857351,4.228892289482102e-05
1,75.50899310512361,71.80225161838113,1.0,75.50899318113991,71.80225163379859,1.09917203347e-05
1,83.92231390404098,70.01489411898113,1.0,83.92231389647247,70.01489419235043,7.724446469859098e-05
1,82.50140447512052,70.46255528770791,1.0,82.5014044753907,70.46255520665343,8.263168408337294e-05
1,70.70848401902056,72.84885355181504,2.0,70.70848402535488,72.84885356326188,1.0729302115600884e-06
1,88.81168131772704,70.66951173527816,1.0,88.81168133020915,70.66951176769776,2.1026248595750263e-05
1,76.90604486505462,70.77455069802164,1.0,76.90604506559549,70.77455073006007,5.306997477301337e-05
1,74.33531676829071,70.90675959515143,1.0,74.33531669667184,70.90675958004297,7.296538754230848e-06
2,87.55087603788458,69.92528681242699,2.0,87.55087636804893,69.92528676586942,1.5860332440746288e-05
2,93.5510851154445,78.73123076341057,2.0,93.55108516961776,78.73123073867546,6.422892740005035e-05
2,90.07147837789499,69.76682714501794,2.0,90.07147767521408,69.76682716538267,5.056793419941536e-05
2,96.33898710451078,69.222005017426,2.0,96.33898608861692,69.22200473438542,2.7629405361046307e-05
2,89.38386538335143,80.89475295635484,2.0,89.38386538167386,80.8947529157385,8.483984514067593e-05
2,81.78579718025496,72.4640824319138,2.0,81.78579715418806,72.46408247690758,6.864412404683841e-05
2,86.03031893538775,71.45780156757682,2.0,86.03031880132326,71.4578015934548,4.538770574571276e-06
2,80.86559618707174,71.69196605880195,2.0,80.86559623236764,71.69196619029239,9.424059427627812e-05
2,82.52514473366544,71.24261820641995,2.0,82.52514471569299,71.24261825020982,5.491917036007722e-05
2,90.11167465016354,68.88719091715221,2.0,90.11167456486244,68.88719091930622,6.718579421104153e-07
3,84.86830684251825,69.60854130432513,3.0,84.86830686743818,69.60854134474945,4.36148197692325e-05
3,80.11265568514955,71.40765737030517,3.0,80.11265567555841,71.40765741664227,4.009609964805357e-05
3,68.84545632235924,72.86540880101977,1.0,68.84545630425782,72.86540877002484,6.069013291877186e-06
3,86.36073470818692,71.88778135964984,3.0,86.3607347458317,71.88778140299691,1.9802051214089577e-05
3,84.44416490386986,71.70855124380789,3.0,84.44416490693294,71.70855122339226,2.4947297337565143e-05
3,79.33242739831499,62.31404086216151,3.0,79.33242739289695,62.314040851283885,5.19111719812261e-06
3,88.17068070157589,73.73969544142366,3.0,88.17068073310242,73.73969543751399,5.1430665402255736e-05
3,77.37522461010894,72.27125416270665,3.0,77.37522458869378,72.27125402877944,9.827199963013608e-05
3,90.2476422865046,67.77115343150304,5.0,90.2476423415585,67.77115348515625,6.969343744013186e-05
3,76.28662581755893,73.29604549775303,3.0,76.28662581171204,73.29604540695945,5.905743388117181e-05
4,98.06396582182964,69.07606143262501,3.0,98.06396578485652,69.07606152269048,5.102419349360676e-05
4,75.86204624640466,71.88175683157792,2.0,75.86204628473239,71.88175682599916,3.0873521161042104e-05
4,91.1965667375262,76.61765486801801,4.0,91.19656672029772,76.6176548508265,1.2653432894743978e-05
4,74.1925852999972,72.842283780698,4.0,74.19258534129567,72.8422838773736,4.0563486523046206e-05
4,73.15756420287819,72.75464503218996,2.0,73.15756422902703,72.75464510961555,2.530207197726577e-05
4,72.50101602753031,73.28305572697258,4.0,72.50101602104088,73.28305574561328,4.0919190037649175e-06
4,91.09685826654533,69.40527691247031,4.0,91.0968582519239,69.40527696817205,1.4152413578679897e-05
4,66.38415789570078,72.72044649674007,0.0,66.38415791614607,72.72044646405331,9.673095489751494e-06
4,69.8281915788456,73.39682101561338,2.0,69.82819158690526,73.39682101790036,6.028404330414571e-07
4,96.69632897891512,69.04950220046734,4.0,96.69632897208449,69.04950223160381,6.984314616931274e-06
5,82.72313306998922,64.08610244183328,5.0,82.7231330707989,64.08610239375069,5.982153827833145e-05
5,83.02574714656575,64.86197480633989,,,,
5,99.60823506696656,70.7679151039066,,,,
5,89.312081609006,68.40951801390968,,,,
5,78.4184244267515,70.70510825359975,,,,
5,71.91581910881871,73.26074824662341,,,,
5,72.26083108463394,72.39815897004168,,,,
5,88.80804939853218,63.63666944950539,,,,
5,76.70065971846965,64.7852180985455,,,,
5,66.48062037510458,73.98247016027452,,,,
