indices,x,y,z,localized_index,localized_x,localized_y,localized_z,localized_chi_sq,diff
0.0,80.5,74.0,3.2,0.0,80.49999563825145,74.00002250258008,3.199977033948506,0.2444371747766986,
1.0,67.5,81.0,3.0,1.0,67.49996864948808,80.99999341315632,2.9999221546051285,0.1138664275370838,
2.0,110.9,88.7,3.1,2.0,110.90000179878568,88.69999829759527,3.1000026731614074,0.0016437833450423,
3.0,71.4,57.0,3.5,3.0,71.39999014992873,56.99998565103797,3.499972430858786,0.0987314638751818,
4.0,80.1,99.9,3.3,4.0,80.09999692186862,99.90001073560802,3.300021957029743,0.0171213941557634,
5.0,77.6,67.5,3.34,5.0,77.60000386629302,67.50000836472026,3.3400070693267296,0.0255390404428878,
2.0,110.0,95.0,2.6,2.0,110.00000155363644,90.49999970139956,2.600001780386933,0.0046239780642456,
3.0,72.4,57.2,2.9,3.0,72.40005127915316,57.199935154855126,2.899964142324557,0.0480291607432128,
0.0,87.4,72.1,2.6,0.0,87.40001676083077,72.10000274388001,2.600002918437719,0.2455662701599208,
5.0,75.4,69.2,3.4,5.0,75.40001887656153,69.20000612848165,3.399989831359927,0.003636698712701,
0.0,89.0,71.0,2.57,0.0,85.48759441265776,75.51146645142352,2.84602678201337,3492568.842129394,
0.0,87.3,73.4,2.92,0.0,87.29999865710234,73.40000133392732,2.9199650830371056,0.2122207047712535,
1.0,70.0,75.0,3.12,1.0,70.00002269991812,75.00002818933177,3.120020245939376,0.0043847886135248,
1.0,68.2,76.6,3.15,1.0,68.19999999976973,76.59998685681535,3.1499965129779715,0.0083815546073923,
2.0,107.0,89.0,2.55,2.0,107.0000016712626,88.99999810017465,2.549998332366311,0.0018686724397156,
3.0,71.0,56.5,2.56,3.0,70.99994256210049,56.50005293722699,2.5599918634021805,0.2899137770976693,
3.0,71.3,56.9,3.44,3.0,71.29999460522119,56.900000988345255,3.4399722633400844,0.09420160432657594,
4.0,80.02,99.7,3.12,4.0,80.01993815487316,99.69997616759444,3.119991136078138,0.07499651279751605,
