indices,x,y,z,localized_index,localized_x,localized_y,localized_z,run_status,run_msg,localized_H0,chi_sq,accepted_clusters,posterior_file,corner_plot,trace_plot,second_smallest_chi2,bayes_factor
0.0,78.9921491862468,70.29455819662714,3.113991857128834,0.0,78.99490085454596,70.30936010213955,0.0,OK,,0.0,0.0388389207236771,0.0,,,,149.53310762397638,149.4942687032527
0.0,73.73413208438292,81.10808206768806,3.78706609319303,0.0,73.73072883932846,81.11482808668254,0.0,OK,,0.0,0.0013083323661543,0.0,,,,93.26570125098765,93.2643929186215
0.0,74.6538884665691,79.55780322627632,2.8978882589578943,0.0,74.87612414553845,77.86756384797725,0.0,OK,,0.0,45.57420250685279,0.0,,,,106.5263087349406,60.95210622808781
0.0,80.86098268604096,80.46561583916474,3.278544068638652,0.0,80.81609964566289,80.42356056671268,0.0,OK,,0.0,1.2760370919620847,0.0,,,,35.60687229135711,34.330835199395025
0.0,79.38133869128859,78.54673249616513,3.98536527771484,0.0,79.35428997454935,78.48004018715486,0.0,OK,,0.0,1.192688253086733,0.0,,,,47.64027894376916,46.447590690682425
0.0,75.42632971669119,77.03970266108382,3.0928792892868024,0.0,75.39613615619342,76.95737892735664,0.0,OK,,0.0,0.9342440643814592,0.0,,,,75.53721865758712,74.60297459320566
0.0,73.89575861472382,83.54123600177584,3.320048754014955,0.0,73.89012249371558,83.53530973223735,0.0,OK,,0.0,0.006904158873177,0.0,,,,124.4820414445556,124.47513728568242
0.0,78.05972079494597,80.51917064423125,3.3432497973776307,0.0,78.0523770845473,80.46529785472065,0.0,OK,,0.0,0.1211390698059904,0.0,,,,52.340468651709,52.21932958190301
0.0,78.08467428077908,74.90909068658016,1.703065413040694,0.0,78.0793210811124,74.8437183082998,0.0,OK,,0.0,0.15202131066329,0.0,,,,84.55725078811253,84.40522947744924
0.0,74.87293853016983,82.9039708672434,2.527408614741524,0.0,74.8580180752264,82.81797106793582,0.0,OK,,0.0,0.2070563790735356,0.0,,,,114.89926120833591,114.69220482926238
1.0,205.8755693667921,192.6930836026428,3.311372557144088,1.0,205.87814552515763,192.69248425351628,0.0,OK,,0.0,0.0009950758221499,1.0,,,,285.16142038056626,285.1604253047441
1.0,206.55282590219693,193.70762283610463,2.843802364752869,1.0,206.50137947908985,193.69511094474927,0.0,OK,,0.0,0.1377505555643514,1.0,,,,285.8971588812973,285.7594083257329
1.0,207.59390962630465,194.18915066561013,1.8727522070746927,1.0,207.5917117690769,194.1887528966172,0.0,OK,,0.0,0.0003948189653128,1.0,,,,254.8767885546397,254.87639373567438
1.0,207.6741427466738,193.0501256645857,1.9197738236860475,1.0,207.6724478997196,193.0500797079852,0.0,OK,,0.0,0.0002743507311936,1.0,,,,212.42227326590464,212.42199891517345
1.0,149.2313556091881,156.43980531035118,3.352396450784277,,,,,NO_GUESS,,,,,,,,3000.0,
1.0,205.95514685286963,192.22143520679003,2.934728899118247,1.0,205.97103551560863,192.22745341337875,0.0,OK,,0.0,0.0060248167541244,1.0,,,,281.26645440513124,281.2604295883771
1.0,207.2363796879656,200.29857522234656,1.5915997380839109,1.0,207.23417640494736,200.30301617888463,0.0,OK,,0.0,0.023869992170735,1.0,,,,157.29511334213214,157.2712433499614
1.0,206.07477690146308,193.576876054227,2.1317676861129287,1.0,206.11147718992007,193.5856582997708,0.0,OK,,0.0,0.1226192661971293,1.0,,,,498.33578935219344,498.2131700859963
1.0,144.07520345428432,149.63401939902627,3.352624004210841,,,,,NO_GUESS,,,,,,,,721.5584796303579,
1.0,208.53444551460444,192.23097644127944,1.718265387202721,1.0,208.53303497905068,192.2305073655048,0.0,OK,,0.0,5.111358065315075e-05,1.0,,,,165.25721131308808,165.25716019950744
2.0,95.02581012643736,95.90721996425523,2.355982816090017,2.0,94.89398964728578,96.02721607285444,0.0,OK,,0.0,5.144748081349796,2.0,,,,68.10523959861477,62.96049151726498
2.0,100.04564235628796,98.87103583769104,3.355828920169866,2.0,100.0159512083469,98.91977600215824,0.0,OK,,0.0,2.4844880133979714,2.0,,,,110.2011065886821,107.71661857528412
2.0,100.4385673265612,104.47262668165934,2.961647908775181,2.0,100.47773481347876,104.43929084225395,0.0,OK,,0.0,8.802324028039038,2.0,,,,90.08938319989667,81.28705917185763
2.0,101.8294449260504,104.91654113687676,2.58578627448952,2.0,101.73467217484688,104.9627418965872,0.0,OK,,0.0,0.130324429357779,2.0,,,,94.61763838371556,94.48731395435777
2.0,101.47506742785632,101.41329941585582,2.187890305377851,2.0,101.44121321073337,101.31553049101556,0.0,OK,,0.0,6.503815549624084,2.0,,,,109.39908683192418,102.8952712823001
2.0,99.38927382507366,101.2237319561628,3.8670049799731214,2.0,99.34629445002456,101.26828684054482,0.0,OK,,0.0,1.2090763470523538,2.0,,,,185.27479990775169,184.06572356069933
2.0,99.79582124964446,104.74219014619706,3.200898090968876,2.0,99.89536028383526,104.7821568861754,0.0,OK,,0.0,0.251327055502613,2.0,,,,75.38600967812948,75.13468262262687
2.0,101.92101159163816,106.02938048492436,3.900525434907258,2.0,102.132879655605,105.98156844866294,0.0,OK,,0.0,0.1245875234253657,2.0,,,,44.33596642575378,44.21137890232841
2.0,96.833055307241,100.4011044449244,2.4525900143375976,2.0,96.82960794560556,100.3778546424124,0.0,OK,,0.0,0.0340169018314001,2.0,,,,80.75422419145312,80.72020728962171
3.0,107.04384272523016,133.1468246743595,2.064461096683454,,,,,NO_GUESS,,,,,,,,171.22743940273818,
3.0,127.78712643560206,110.82552512240756,2.8903710652505823,3.0,127.77799694555551,110.83654735387366,0.0,OK,,0.0,3000.0,3.0,,,,24.336901873553828,-2975.663098126446
3.0,125.94291380414867,109.68595516663268,3.7547879830135504,3.0,125.95063320550634,109.67333521923236,0.0,OK,,0.0,0.0055185239398263,3.0,,,,72.19687111680264,72.19135259286281
3.0,127.10208231677667,110.36836220357031,3.0215358077832644,3.0,127.16854985051069,110.28148025678892,0.0,OK,,0.0,0.1755663295241717,3.0,,,,100.4955589671102,100.31999263758603
3.0,125.1862426095528,108.72131582359688,2.937492820554342,3.0,125.18874661942532,108.7093786026593,0.0,OK,,0.0,0.1022994830931339,3.0,,,,50.70837222226029,50.60607273916715
3.0,128.18575628614295,111.13959041253952,3.118051279493072,3.0,128.1576608988509,111.171967731427,0.0,OK,,0.0,0.1313918806857545,3.0,,,,35.24937293118763,35.117981050501875
3.0,126.0584692520348,109.38686501962503,3.120829214915095,3.0,126.069733801457,109.38074633594417,0.0,OK,,0.0,0.0239516464553191,3.0,,,,79.6413838731529,79.61743222669759
3.0,126.17874542373616,110.26099861481909,3.382546125461176,3.0,126.22537501289275,110.18545868553774,0.0,OK,,0.0,1.1287874667175006,3.0,,,,28.400935221358687,27.272147754641185
3.0,118.64459795970726,119.15888144739468,2.037354212068576,3.0,126.32252212377271,109.52038932433533,0.0,OK,,0.0,35.02899478469365,3.0,,,,93.41412063543696,58.38512585074331
3.0,135.3499838299349,100.9883301155073,2.167549832898194,3.0,135.35595055633758,100.973229726241,0.0,OK,,0.0,0.1111140741595732,3.0,,,,279.00768505229314,278.8965709781336
4.0,281.00760609316853,260.74001156854735,2.610822486586075,4.0,281.01090264848904,260.7420327131422,0.0,OK,,0.0,0.0006179805798566,4.0,,,,74.25213305472599,74.25151507414613
4.0,236.14387111677908,243.53685943517087,3.988271392194813,4.0,236.1783252161039,243.53538410799,0.0,OK,,0.0,0.0503235886418575,4.0,,,,198.4516454398511,198.40132185120925
4.0,283.985148853597,257.44795090253604,2.5568102367341545,4.0,283.9731737691193,257.41903529883507,0.0,OK,,0.0,0.3054864507516173,4.0,,,,27.15901895723216,26.853532506480544
4.0,223.11827169747377,217.12033620331,3.846463819659968,,,,,NO_GUESS,,,,,,,,960.8975206444312,
