indices,x,y,z,localized_index,localized_x,localized_y,localized_z,run_status,run_msg,localized_H0,chi_sq,accepted_clusters,out_dir,posterior_file,corner_plot,trace_plot
0.0,78.9921491862468,70.29455819662714,3.113991857128834,0.0,78.99490085454596,70.30936010213955,0.0,OK,,0.0,0.0388389207236771,0.0,/users/hiu-yeung.cheng/clusterlensing/out/fix_z/row0/test_tidy_row0,,,
0.0,73.73413208438292,81.10808206768806,3.78706609319303,0.0,73.73072883932846,81.11482808668254,0.0,OK,,0.0,0.0013083323661543,0.0,/users/hiu-yeung.cheng/clusterlensing/out/fix_z/row1/test_tidy_row1,,,
0.0,74.6538884665691,79.55780322627632,2.8978882589578943,0.0,74.87612414553845,77.86756384797725,0.0,OK,,0.0,45.57420250685279,0.0,/users/hiu-yeung.cheng/clusterlensing/out/fix_z/row2/test_tidy_row2,,,
0.0,80.86098268604096,80.46561583916474,3.278544068638652,0.0,80.81609964566289,80.42356056671268,0.0,OK,,0.0,1.2760370919620847,0.0,/users/hiu-yeung.cheng/clusterlensing/out/fix_z/row3/test_tidy_row3,,,
0.0,79.38133869128859,78.54673249616513,3.98536527771484,0.0,79.35428997454935,78.48004018715486,0.0,OK,,0.0,1.192688253086733,0.0,/users/hiu-yeung.cheng/clusterlensing/out/fix_z/row4/test_tidy_row4,,,
0.0,75.42632971669119,77.03970266108382,3.0928792892868024,0.0,75.39613615619342,76.95737892735664,0.0,OK,,0.0,0.9342440643814592,0.0,/users/hiu-yeung.cheng/clusterlensing/out/fix_z/row5/test_tidy_row5,,,
0.0,73.89575861472382,83.54123600177584,3.320048754014955,0.0,73.89012249371558,83.53530973223735,0.0,OK,,0.0,0.006904158873177,0.0,/users/hiu-yeung.cheng/clusterlensing/out/fix_z/row6/test_tidy_row6,,,
0.0,78.05972079494597,80.51917064423125,3.3432497973776307,0.0,78.0523770845473,80.46529785472065,0.0,OK,,0.0,0.1211390698059904,0.0,/users/hiu-yeung.cheng/clusterlensing/out/fix_z/row7/test_tidy_row7,,,
0.0,78.08467428077908,74.90909068658016,1.703065413040694,0.0,78.0793210811124,74.8437183082998,0.0,OK,,0.0,0.15202131066329,0.0,/users/hiu-yeung.cheng/clusterlensing/out/fix_z/row8/test_tidy_row8,,,
0.0,74.87293853016983,82.9039708672434,2.527408614741524,0.0,74.8580180752264,82.81797106793582,0.0,OK,,0.0,0.2070563790735356,0.0,/users/hiu-yeung.cheng/clusterlensing/out/fix_z/row9/test_tidy_row9,,,
1.0,205.8755693667921,192.6930836026428,3.311372557144088,1.0,205.87814552515763,192.69248425351628,0.0,OK,,0.0,0.0009950758221499,1.0,/users/hiu-yeung.cheng/clusterlensing/out/fix_z/row10/test_tidy_row10,,,
1.0,206.55282590219693,193.70762283610463,2.843802364752869,1.0,206.50137947908985,193.69511094474927,0.0,OK,,0.0,0.1377505555643514,1.0,/users/hiu-yeung.cheng/clusterlensing/out/fix_z/row11/test_tidy_row11,,,
1.0,207.59390962630465,194.18915066561013,1.8727522070746927,1.0,207.5917117690769,194.1887528966172,0.0,OK,,0.0,0.0003948189653128,1.0,/users/hiu-yeung.cheng/clusterlensing/out/fix_z/row12/test_tidy_row12,,,
1.0,207.6741427466738,193.0501256645857,1.9197738236860475,1.0,207.6724478997196,193.0500797079852,0.0,OK,,0.0,0.0002743507311936,1.0,/users/hiu-yeung.cheng/clusterlensing/out/fix_z/row13/test_tidy_row13,,,
1.0,149.2313556091881,156.43980531035118,3.352396450784277,,,,,NO_GUESS,,,,,,,,
1.0,205.95514685286963,192.22143520679003,2.934728899118247,1.0,205.97103551560863,192.22745341337875,0.0,OK,,0.0,0.0060248167541244,1.0,/users/hiu-yeung.cheng/clusterlensing/out/fix_z/row15/test_tidy_row15,,,
1.0,207.2363796879656,200.29857522234656,1.5915997380839109,1.0,207.23417640494736,200.30301617888463,0.0,OK,,0.0,0.023869992170735,1.0,/users/hiu-yeung.cheng/clusterlensing/out/fix_z/row16/test_tidy_row16,,,
1.0,206.07477690146308,193.576876054227,2.1317676861129287,1.0,206.11147718992007,193.5856582997708,0.0,OK,,0.0,0.1226192661971293,1.0,/users/hiu-yeung.cheng/clusterlensing/out/fix_z/row17/test_tidy_row17,,,
1.0,144.07520345428432,149.63401939902627,3.352624004210841,,,,,NO_GUESS,,,,,,,,
1.0,208.53444551460444,192.23097644127944,1.718265387202721,1.0,208.53303497905068,192.2305073655048,0.0,OK,,0.0,5.111358065315075e-05,1.0,/users/hiu-yeung.cheng/clusterlensing/out/fix_z/row19/test_tidy_row19,,,
2.0,95.02581012643736,95.90721996425523,2.355982816090017,2.0,94.89398964728578,96.02721607285444,0.0,OK,,0.0,5.144748081349796,2.0,/users/hiu-yeung.cheng/clusterlensing/out/fix_z/row20/test_tidy_row20,,,
2.0,100.04564235628796,98.87103583769104,3.355828920169866,2.0,100.0159512083469,98.91977600215824,0.0,OK,,0.0,2.4844880133979714,2.0,/users/hiu-yeung.cheng/clusterlensing/out/fix_z/row21/test_tidy_row21,,,
2.0,100.4385673265612,104.47262668165934,2.961647908775181,2.0,100.47773481347876,104.43929084225395,0.0,OK,,0.0,8.802324028039038,2.0,/users/hiu-yeung.cheng/clusterlensing/out/fix_z/row22/test_tidy_row22,,,
