indices,x,y,z,H0,localized_index,localized_x,localized_y,localized_z,localized_H0
0.0,96.3642998642583,96.24579242317353,3.668910475026701,75.60819770277777,0.0,96.02854415870806,96.21877692325444,3.605767319287092,74.27266429715895
0.0,98.11657258686152,97.40629523400526,3.865388515923007,67.19278264707727,0.0,98.10950191678069,97.42895886743436,3.8990425047922095,67.36413973813461
0.0,92.55773302541994,94.96845216890624,2.4822530000152163,68.72272864151992,0.0,92.5608436634404,94.76238661571026,2.381446652936079,66.08591518201966
0.0,94.90565256432517,95.20077592964176,3.304616646564316,69.32466077911572,0.0,95.62777900875072,95.2354753084007,3.394906352452525,71.06443386520101
0.0,102.28839767102096,94.9052590222844,3.8189293366061423,70.84629151296338,0.0,102.53193400047252,94.79666231164944,3.824372360424405,71.33322617576808
0.0,101.122629688426,92.84566242524848,3.692606549694807,73.26264175711455,0.0,100.71378199851034,92.87938359510731,3.69802472832352,73.37531453161228
0.0,104.07912972049698,93.01228036464562,3.5422375599170364,75.34952883161236,0.0,102.01923398820114,93.97854015613404,3.4579123664572187,71.4275224970528
0.0,93.9825660589342,93.9320112712318,3.607599569888279,68.04202556193249,0.0,94.30047352764836,93.87297863737584,3.649244771189651,69.11958429798038
0.0,92.288826867549,96.23625164504804,3.626347480568706,65.33170669017682,0.0,92.6855815423561,96.30762215693088,3.674139252197359,66.73244645808887
0.0,96.12715555267044,94.54177262147596,3.725106389733535,70.26058671634003,0.0,96.0292830147554,94.53103714889852,3.665710270331316,69.37002674923019
1.0,128.1660233630986,98.67269834179748,1.6612290811776649,73.54527622169407,1.0,130.03991747199,99.03517575791332,2.1994404072416947,104.45595831509996
1.0,130.7298587616064,95.64938320133705,1.6008691950690008,72.7983851899842,1.0,130.90563846804244,99.20100271150807,2.327934791184469,111.21182979143381
1.0,133.35348383809009,100.99804209877864,3.676429086019626,67.3805937354204,,,,,
1.0,133.6313484874865,99.0639858016744,3.8120446719817154,71.62134130982686,,,,,
1.0,133.20415427225583,100.27480599491932,2.940586185504282,65.97949785799155,,,,,
1.0,130.5710972013204,103.8271846612331,3.722488108479847,73.58460596950354,,,,,
1.0,128.58710467247295,98.0933996696888,2.6058863722577845,71.98510775609905,,,,,
1.0,129.9120484340386,96.8816888651149,2.610424943786481,66.68873671617733,,,,,
1.0,131.57775660556285,97.16042942993188,3.928286642575537,70.78858430274748,,,,,
1.0,133.61926180226848,96.8700742464984,2.856131307653132,68.33459600523317,,,,,
2.0,129.61644735810972,130.7804488157988,2.2295084695121115,70.39648232365856,,,,,
2.0,133.3193934618168,129.82739272803,3.314200737315105,68.54955678177238,,,,,
2.0,132.2314564059647,130.35926133783704,3.981388561517372,68.92337972311162,,,,,
2.0,127.26354785798026,130.16486897474158,2.1799625592604386,72.6996397989255,,,,,
2.0,134.03863257935026,133.55009518121614,1.914393709354551,70.9268381648469,,,,,
2.0,128.88281402646322,132.04277204267902,1.672793072806783,73.1372289191321,,,,,
2.0,128.14728617589708,130.1392373448168,1.5930861456004224,69.3310601392004,,,,,
2.0,134.12643048979228,131.13767557052643,3.5981144308849933,68.47668226626035,,,,,
2.0,130.90770636489268,129.37737321426638,2.5850507624630223,66.08195414392117,,,,,
2.0,128.69999586654188,130.24831436824437,2.814785568816919,72.87432741208903,,,,,
3.0,116.33626971172882,105.45085903606406,3.726612472297519,68.43328369413085,,,,,
3.0,107.59320741917512,116.54271624070287,3.2193491422549174,69.98418614611236,,,,,
3.0,103.31082839318977,113.931431533172,2.087854958341522,68.17091007276755,,,,,
3.0,114.98717095710596,104.21265102587904,3.113602816655213,72.83492237130844,,,,,
3.0,118.76190950341584,105.51589590306104,3.3699730022963976,75.95660501636023,,,,,
3.0,105.3321297006482,115.4520172847819,3.0998288376822334,71.2262809492562,,,,,
3.0,104.54250359617284,117.61320002353406,2.974347105136776,65.532331395307,,,,,
3.0,101.00682119538968,113.62269225363228,3.013853649075317,69.27067625048925,,,,,
3.0,118.58004107969862,106.44791966393394,3.8628135010255056,67.42829288254669,,,,,
3.0,106.36534119999529,117.1230146227634,3.310750221231588,73.53437044277179,,,,,
4.0,111.93332177188827,96.8425236447588,3.4848670474682173,75.80174478151099,,,,,
4.0,107.90275140149832,106.624655549929,2.664082712203166,67.34454102240802,,,,,
4.0,103.65928024021592,111.17413847536324,3.9245109654804455,69.24957781704437,,,,,
4.0,102.62781442306093,101.72811367899152,2.8229022445497485,69.69787215710646,,,,,
4.0,108.33287500469784,97.71471132915852,2.4437239912426163,68.67225728017652,,,,,
4.0,108.4340300624063,106.39121571427138,2.457335465404696,72.25430560711867,,,,,
4.0,111.78810342077014,94.96572020221636,3.58396603677936,67.37692744311083,,,,,
4.0,108.96406083390733,97.15765857423784,3.3375897549050806,75.25221225289953,,,,,
4.0,108.24086042987452,108.74286232056114,2.6248366012644064,70.9071882608253,,,,,
4.0,108.37644171190634,99.21598811817375,3.1961664695343384,65.3036861870232,,,,,
5.0,105.7391900320997,113.28710226375,2.519627636702571,72.18428845570274,,,,,
5.0,110.25842447951688,110.99640813102512,3.144500395975153,71.47275510152107,,,,,
5.0,106.8431278476234,113.5257342575577,2.261071631670464,71.33932057893186,,,,,
5.0,105.94871171156184,113.89505426527684,2.137300661343437,72.72427971399166,,,,,
5.0,108.171577753425,111.85352272332932,3.564152739199636,75.78916806111758,,,,,
5.0,105.55251280790132,115.04496287357097,2.2027705627777125,72.74323037538447,,,,,
5.0,103.3977922811486,117.65680252336072,3.590491670355963,70.78781616565168,,,,,
