Row=37 OUT_DIR=/users/hiu-yeung.cheng/clusterlensing/out/row37 DE_PROCS=16 MCMC_PROCS=16
Setup complete. Lensing system initialized.
True time delays: [   0.         3705.05380978 7354.75980032 7531.31579764 7578.23861075]
True luminosity distances: 29359.985999877048
Lensed luminosity distances: [ 12216.66162243   7446.14567556  22197.0402522   24014.34111504
 433626.81798881]

Running the full analysis pipeline...
--- Running DE for Cluster 0 ---
[DE] Process Pool with 16 procs (init=latinhypercube, popsize=50)
differential_evolution step 1: f(x)= 4242.640687119286
differential_evolution step 2: f(x)= 4242.640687119286
differential_evolution step 3: f(x)= 4242.640687119286
differential_evolution step 4: f(x)= 1522.0925366450915
differential_evolution step 5: f(x)= 1522.0925366450915
differential_evolution step 6: f(x)= 1522.0925366450915
differential_evolution step 7: f(x)= 1522.0925366450915
differential_evolution step 8: f(x)= 1522.0925366450915
differential_evolution step 9: f(x)= 1522.0925366450915
differential_evolution step 10: f(x)= 1522.0925366450915
differential_evolution step 11: f(x)= 1522.0925366450915
differential_evolution step 12: f(x)= 1522.0925366450915
differential_evolution step 13: f(x)= 1522.0925366450915
differential_evolution step 14: f(x)= 1522.0925366450915
differential_evolution step 15: f(x)= 510.2704052335709
differential_evolution step 16: f(x)= 510.2704052335709
differential_evolution step 17: f(x)= 510.2704052335709
differential_evolution step 18: f(x)= 510.2704052335709
differential_evolution step 19: f(x)= 510.2704052335709
differential_evolution step 20: f(x)= 510.2704052335709
differential_evolution step 21: f(x)= 510.2704052335709
differential_evolution step 22: f(x)= 510.2704052335709
differential_evolution step 23: f(x)= 510.2704052335709
differential_evolution step 24: f(x)= 510.2704052335709
differential_evolution step 25: f(x)= 510.2704052335709
differential_evolution step 26: f(x)= 510.2704052335709
differential_evolution step 27: f(x)= 459.2147285666423
differential_evolution step 28: f(x)= 459.2147285666423
differential_evolution step 29: f(x)= 459.2147285666423
differential_evolution step 30: f(x)= 459.2147285666423
differential_evolution step 31: f(x)= 459.2147285666423
differential_evolution step 32: f(x)= 459.2147285666423
differential_evolution step 33: f(x)= 459.2147285666423
differential_evolution step 34: f(x)= 459.2147285666423
differential_evolution step 35: f(x)= 459.2147285666423
differential_evolution step 36: f(x)= 459.2147285666423
differential_evolution step 37: f(x)= 459.2147285666423
differential_evolution step 38: f(x)= 459.2147285666423
differential_evolution step 39: f(x)= 459.2147285666423
differential_evolution step 40: f(x)= 459.2147285666423
differential_evolution step 41: f(x)= 381.0080968872244
differential_evolution step 42: f(x)= 381.0080968872244
differential_evolution step 43: f(x)= 381.0080968872244
differential_evolution step 44: f(x)= 381.0080968872244
differential_evolution step 45: f(x)= 381.0080968872244
differential_evolution step 46: f(x)= 381.0080968872244
differential_evolution step 47: f(x)= 381.0080968872244
differential_evolution step 48: f(x)= 381.0080968872244
differential_evolution step 49: f(x)= 381.0080968872244
differential_evolution step 50: f(x)= 381.0080968872244
differential_evolution step 51: f(x)= 381.0080968872244
differential_evolution step 52: f(x)= 381.0080968872244
differential_evolution step 53: f(x)= 246.85891570313845
differential_evolution step 54: f(x)= 246.85891570313845
differential_evolution step 55: f(x)= 246.85891570313845
differential_evolution step 56: f(x)= 246.85891570313845
differential_evolution step 57: f(x)= 246.85891570313845
differential_evolution step 58: f(x)= 246.85891570313845
differential_evolution step 59: f(x)= 246.85891570313845
differential_evolution step 60: f(x)= 246.85891570313845
differential_evolution step 61: f(x)= 246.85891570313845
differential_evolution step 62: f(x)= 246.85891570313845
differential_evolution step 63: f(x)= 246.85891570313845
differential_evolution step 64: f(x)= 246.85891570313845
differential_evolution step 65: f(x)= 246.85891570313845
differential_evolution step 66: f(x)= 246.85891570313845
differential_evolution step 67: f(x)= 246.85891570313845
differential_evolution step 68: f(x)= 246.85891570313845
differential_evolution step 69: f(x)= 246.85891570313845
differential_evolution step 70: f(x)= 138.4676805406445
differential_evolution step 71: f(x)= 138.4676805406445
differential_evolution step 72: f(x)= 138.4676805406445
differential_evolution step 73: f(x)= 138.4676805406445
differential_evolution step 74: f(x)= 138.4676805406445
differential_evolution step 75: f(x)= 138.4676805406445
differential_evolution step 76: f(x)= 138.4676805406445
differential_evolution step 77: f(x)= 138.4676805406445
differential_evolution step 78: f(x)= 138.4676805406445
differential_evolution step 79: f(x)= 138.4676805406445
differential_evolution step 80: f(x)= 138.4676805406445
differential_evolution step 81: f(x)= 138.4676805406445
differential_evolution step 82: f(x)= 138.4676805406445
differential_evolution step 83: f(x)= 138.4676805406445
differential_evolution step 84: f(x)= 138.4676805406445
differential_evolution step 85: f(x)= 138.4676805406445
differential_evolution step 86: f(x)= 138.4676805406445
differential_evolution step 87: f(x)= 138.4676805406445
differential_evolution step 88: f(x)= 138.4676805406445
differential_evolution step 89: f(x)= 138.4676805406445
differential_evolution step 90: f(x)= 138.4676805406445
differential_evolution step 91: f(x)= 138.4676805406445
differential_evolution step 92: f(x)= 138.4676805406445
differential_evolution step 93: f(x)= 138.4676805406445
differential_evolution step 94: f(x)= 138.4676805406445
differential_evolution step 95: f(x)= 138.4676805406445
differential_evolution step 96: f(x)= 138.4676805406445
differential_evolution step 97: f(x)= 138.4676805406445
differential_evolution step 98: f(x)= 138.4676805406445
differential_evolution step 99: f(x)= 138.4676805406445
differential_evolution step 100: f(x)= 138.4676805406445
differential_evolution step 101: f(x)= 138.4676805406445
differential_evolution step 102: f(x)= 138.4676805406445
differential_evolution step 103: f(x)= 138.4676805406445
differential_evolution step 104: f(x)= 138.4676805406445
differential_evolution step 105: f(x)= 138.4676805406445
differential_evolution step 106: f(x)= 138.4676805406445
differential_evolution step 107: f(x)= 138.4676805406445
