Row=26 OUT_DIR=/users/hiu-yeung.cheng/clusterlensing/out/row26 DE_PROCS=16 MCMC_PROCS=16
Setup complete. Lensing system initialized.
True time delays: [    0.          1682.30013398 12453.65727017 12719.24743561
 13629.12404898]
True luminosity distances: 34440.706171678066
Lensed luminosity distances: [  12712.07641723   12129.68406514    7610.21376945    8049.26923245
 3899200.86804151]

Running the full analysis pipeline...
--- Running DE for Cluster 0 ---
[DE] Process Pool with 16 procs (init=latinhypercube, popsize=50)
differential_evolution step 1: f(x)= 2406.465183963125
differential_evolution step 2: f(x)= 2406.465183963125
differential_evolution step 3: f(x)= 2406.465183963125
differential_evolution step 4: f(x)= 2406.465183963125
differential_evolution step 5: f(x)= 2406.465183963125
differential_evolution step 6: f(x)= 2406.465183963125
differential_evolution step 7: f(x)= 2406.465183963125
differential_evolution step 8: f(x)= 2406.465183963125
differential_evolution step 9: f(x)= 1625.6222537101548
differential_evolution step 10: f(x)= 1625.6222537101548
differential_evolution step 11: f(x)= 1625.6222537101548
differential_evolution step 12: f(x)= 1625.6222537101548
differential_evolution step 13: f(x)= 1625.6222537101548
differential_evolution step 14: f(x)= 1625.6222537101548
differential_evolution step 15: f(x)= 1113.9346794207227
differential_evolution step 16: f(x)= 1113.9346794207227
differential_evolution step 17: f(x)= 1113.9346794207227
differential_evolution step 18: f(x)= 911.4142658583426
differential_evolution step 19: f(x)= 785.2443868456271
differential_evolution step 20: f(x)= 785.2443868456271
differential_evolution step 21: f(x)= 785.2443868456271
differential_evolution step 22: f(x)= 785.2443868456271
differential_evolution step 23: f(x)= 785.2443868456271
differential_evolution step 24: f(x)= 785.2443868456271
differential_evolution step 25: f(x)= 785.2443868456271
differential_evolution step 26: f(x)= 785.2443868456271
differential_evolution step 27: f(x)= 785.2443868456271
differential_evolution step 28: f(x)= 785.2443868456271
differential_evolution step 29: f(x)= 785.2443868456271
differential_evolution step 30: f(x)= 785.2443868456271
differential_evolution step 31: f(x)= 785.2443868456271
differential_evolution step 32: f(x)= 672.3275168280809
differential_evolution step 33: f(x)= 672.3275168280809
differential_evolution step 34: f(x)= 672.3275168280809
differential_evolution step 35: f(x)= 672.3275168280809
differential_evolution step 36: f(x)= 672.3275168280809
differential_evolution step 37: f(x)= 672.3275168280809
differential_evolution step 38: f(x)= 672.3275168280809
differential_evolution step 39: f(x)= 672.3275168280809
differential_evolution step 40: f(x)= 672.3275168280809
differential_evolution step 41: f(x)= 672.3275168280809
differential_evolution step 42: f(x)= 672.3275168280809
differential_evolution step 43: f(x)= 672.3275168280809
differential_evolution step 44: f(x)= 672.3275168280809
differential_evolution step 45: f(x)= 672.3275168280809
differential_evolution step 46: f(x)= 672.3275168280809
differential_evolution step 47: f(x)= 651.5620401885886
differential_evolution step 48: f(x)= 647.0565581235967
