Row=3 OUT_DIR=/users/hiu-yeung.cheng/clusterlensing/out/row3 DE_PROCS=16 MCMC_PROCS=16
DEBUG: Initializing ClusterLensing with z_s_ref = 3.278544068638652
Setup complete. Lensing system initialized.
True time delays: [    0.         12647.74981279 14775.39943354 14790.66035012
 14797.1195627 ]
True luminosity distances: 28282.55523283723
Lensed luminosity distances: [ 10830.06756079   3889.06851178   7713.53724645  12765.54124614
 179744.08447618]

Running the full analysis pipeline...
--- Running DE for Cluster 0 ---
[DE] Process Pool with 16 procs (init=latinhypercube, popsize=50)
differential_evolution step 1: f(x)= 2827.998297890964
differential_evolution step 2: f(x)= 2827.998297890964
differential_evolution step 3: f(x)= 1875.7878094537505
differential_evolution step 4: f(x)= 1875.7878094537505
differential_evolution step 5: f(x)= 405.73474571913096
differential_evolution step 6: f(x)= 405.73474571913096
differential_evolution step 7: f(x)= 405.73474571913096
differential_evolution step 8: f(x)= 265.3717629587737
differential_evolution step 9: f(x)= 265.3717629587737
differential_evolution step 10: f(x)= 265.3717629587737
differential_evolution step 11: f(x)= 265.3717629587737
differential_evolution step 12: f(x)= 265.3717629587737
differential_evolution step 13: f(x)= 265.3717629587737
differential_evolution step 14: f(x)= 265.3717629587737
differential_evolution step 15: f(x)= 265.3717629587737
differential_evolution step 16: f(x)= 240.76128174471808
differential_evolution step 17: f(x)= 240.76128174471808
differential_evolution step 18: f(x)= 240.76128174471808
differential_evolution step 19: f(x)= 240.76128174471808
differential_evolution step 20: f(x)= 240.76128174471808
differential_evolution step 21: f(x)= 240.76128174471808
differential_evolution step 22: f(x)= 217.0990146520029
differential_evolution step 23: f(x)= 217.0990146520029
differential_evolution step 24: f(x)= 217.0990146520029
differential_evolution step 25: f(x)= 217.0990146520029
differential_evolution step 26: f(x)= 188.59882899419821
differential_evolution step 27: f(x)= 144.03830464935504
differential_evolution step 28: f(x)= 144.03830464935504
differential_evolution step 29: f(x)= 144.03830464935504
differential_evolution step 30: f(x)= 144.03830464935504
differential_evolution step 31: f(x)= 144.03830464935504
differential_evolution step 32: f(x)= 144.03830464935504
differential_evolution step 33: f(x)= 144.03830464935504
differential_evolution step 34: f(x)= 144.03830464935504
differential_evolution step 35: f(x)= 123.99990112057007
differential_evolution step 36: f(x)= 92.0733539600372
differential_evolution step 37: f(x)= 92.0733539600372
differential_evolution step 38: f(x)= 36.60300001675413
differential_evolution step 39: f(x)= 36.60300001675413
differential_evolution step 40: f(x)= 36.60300001675413
differential_evolution step 41: f(x)= 36.60300001675413
differential_evolution step 42: f(x)= 36.60300001675413
differential_evolution step 43: f(x)= 36.60300001675413
differential_evolution step 44: f(x)= 36.60300001675413
differential_evolution step 45: f(x)= 36.60300001675413
differential_evolution step 46: f(x)= 36.60300001675413
differential_evolution step 47: f(x)= 36.60300001675413
differential_evolution step 48: f(x)= 22.136319910087394
differential_evolution step 49: f(x)= 22.136319910087394
differential_evolution step 50: f(x)= 22.136319910087394
differential_evolution step 51: f(x)= 22.136319910087394
differential_evolution step 52: f(x)= 22.136319910087394
differential_evolution step 53: f(x)= 22.136319910087394
