Row=22 OUT_DIR=/users/hiu-yeung.cheng/clusterlensing/out/row22 DE_PROCS=16 MCMC_PROCS=16
Setup complete. Lensing system initialized.
True time delays: [    0.          3594.83517144 11784.52355331 14319.6094767
 14327.84774725]
True luminosity distances: 29082.726539121013
Lensed luminosity distances: [10923.58452949  9604.31722431 13425.9597417   6516.90140933
 12759.94218323]

Running the full analysis pipeline...
--- Running DE for Cluster 0 ---
[DE] Process Pool with 16 procs (init=latinhypercube, popsize=50)
differential_evolution step 1: f(x)= 4242.640687119286
differential_evolution step 2: f(x)= 3000.0
differential_evolution step 3: f(x)= 3000.0
differential_evolution step 4: f(x)= 3000.0
differential_evolution step 5: f(x)= 3000.0
differential_evolution step 6: f(x)= 3000.0
differential_evolution step 7: f(x)= 3000.0
differential_evolution step 8: f(x)= 3000.0
differential_evolution step 9: f(x)= 3000.0
differential_evolution step 10: f(x)= 1748.7523958127804
differential_evolution step 11: f(x)= 1748.7523958127804
differential_evolution step 12: f(x)= 1748.7523958127804
differential_evolution step 13: f(x)= 1748.7523958127804
differential_evolution step 14: f(x)= 1748.7523958127804
differential_evolution step 15: f(x)= 1748.7523958127804
differential_evolution step 16: f(x)= 1748.7523958127804
differential_evolution step 17: f(x)= 1748.7523958127804
differential_evolution step 18: f(x)= 723.2903863013095
differential_evolution step 19: f(x)= 723.2903863013095
differential_evolution step 20: f(x)= 525.6277718060225
differential_evolution step 21: f(x)= 525.6277718060225
differential_evolution step 22: f(x)= 525.6277718060225
differential_evolution step 23: f(x)= 525.6277718060225
differential_evolution step 24: f(x)= 525.6277718060225
differential_evolution step 25: f(x)= 525.6277718060225
differential_evolution step 26: f(x)= 525.6277718060225
differential_evolution step 27: f(x)= 525.6277718060225
differential_evolution step 28: f(x)= 525.6277718060225
differential_evolution step 29: f(x)= 525.6277718060225
differential_evolution step 30: f(x)= 525.6277718060225
differential_evolution step 31: f(x)= 525.6277718060225
differential_evolution step 32: f(x)= 525.6277718060225
differential_evolution step 33: f(x)= 525.6277718060225
differential_evolution step 34: f(x)= 525.6277718060225
differential_evolution step 35: f(x)= 525.6277718060225
differential_evolution step 36: f(x)= 525.6277718060225
differential_evolution step 37: f(x)= 525.6277718060225
differential_evolution step 38: f(x)= 525.6277718060225
differential_evolution step 39: f(x)= 525.6277718060225
differential_evolution step 40: f(x)= 525.6277718060225
differential_evolution step 41: f(x)= 525.6277718060225
differential_evolution step 42: f(x)= 508.25760059284056
differential_evolution step 43: f(x)= 508.25760059284056
differential_evolution step 44: f(x)= 508.25760059284056
differential_evolution step 45: f(x)= 508.25760059284056
differential_evolution step 46: f(x)= 508.25760059284056
differential_evolution step 47: f(x)= 508.25760059284056
differential_evolution step 48: f(x)= 508.25760059284056
differential_evolution step 49: f(x)= 488.9007056150387
differential_evolution step 50: f(x)= 488.9007056150387
differential_evolution step 51: f(x)= 488.9007056150387
differential_evolution step 52: f(x)= 488.9007056150387
differential_evolution step 53: f(x)= 488.9007056150387
differential_evolution step 54: f(x)= 488.9007056150387
differential_evolution step 55: f(x)= 488.9007056150387
differential_evolution step 56: f(x)= 488.9007056150387
differential_evolution step 57: f(x)= 488.9007056150387
differential_evolution step 58: f(x)= 488.9007056150387
differential_evolution step 59: f(x)= 488.8489858850633
differential_evolution step 60: f(x)= 488.8489858850633
differential_evolution step 61: f(x)= 488.8489858850633
differential_evolution step 62: f(x)= 485.04395661791455
differential_evolution step 63: f(x)= 485.04395661791455
differential_evolution step 64: f(x)= 485.04395661791455
differential_evolution step 65: f(x)= 485.04395661791455
differential_evolution step 66: f(x)= 481.81941250739175
differential_evolution step 67: f(x)= 481.81941250739175
differential_evolution step 68: f(x)= 354.8637495566819
differential_evolution step 69: f(x)= 354.8637495566819
differential_evolution step 70: f(x)= 354.8637495566819
differential_evolution step 71: f(x)= 354.8637495566819
differential_evolution step 72: f(x)= 354.8637495566819
differential_evolution step 73: f(x)= 354.8637495566819
differential_evolution step 74: f(x)= 354.8637495566819
differential_evolution step 75: f(x)= 354.8637495566819
differential_evolution step 76: f(x)= 354.8637495566819
differential_evolution step 77: f(x)= 354.8637495566819
differential_evolution step 78: f(x)= 354.8637495566819
differential_evolution step 79: f(x)= 354.8637495566819
differential_evolution step 80: f(x)= 354.8637495566819
differential_evolution step 81: f(x)= 354.8637495566819
differential_evolution step 82: f(x)= 354.8637495566819
differential_evolution step 83: f(x)= 354.8637495566819
differential_evolution step 84: f(x)= 354.8637495566819
differential_evolution step 85: f(x)= 354.8637495566819
differential_evolution step 86: f(x)= 354.8637495566819
differential_evolution step 87: f(x)= 354.8637495566819
differential_evolution step 88: f(x)= 354.8637495566819
differential_evolution step 89: f(x)= 354.8637495566819
differential_evolution step 90: f(x)= 354.8637495566819
differential_evolution step 91: f(x)= 354.8637495566819
differential_evolution step 92: f(x)= 354.8637495566819
differential_evolution step 93: f(x)= 354.8637495566819
differential_evolution step 94: f(x)= 354.8637495566819
differential_evolution step 95: f(x)= 354.8637495566819
differential_evolution step 96: f(x)= 354.8637495566819
differential_evolution step 97: f(x)= 354.8637495566819
differential_evolution step 98: f(x)= 354.8637495566819
differential_evolution step 99: f(x)= 354.8637495566819
differential_evolution step 100: f(x)= 354.8637495566819
differential_evolution step 101: f(x)= 354.8637495566819
differential_evolution step 102: f(x)= 354.8637495566819
differential_evolution step 103: f(x)= 354.8637495566819
differential_evolution step 104: f(x)= 354.8637495566819
differential_evolution step 105: f(x)= 344.72524855324895
differential_evolution step 106: f(x)= 344.72524855324895
differential_evolution step 107: f(x)= 344.72524855324895
differential_evolution step 108: f(x)= 344.72524855324895
differential_evolution step 109: f(x)= 344.72524855324895
differential_evolution step 110: f(x)= 344.72524855324895
differential_evolution step 111: f(x)= 344.72524855324895
differential_evolution step 112: f(x)= 344.72524855324895
differential_evolution step 113: f(x)= 343.15758241936174
differential_evolution step 114: f(x)= 343.15758241936174
differential_evolution step 115: f(x)= 343.15758241936174
differential_evolution step 116: f(x)= 343.15758241936174
differential_evolution step 117: f(x)= 343.15758241936174
