file_number,second_smallest_chi2
0,111.6547817574046
1,90.31434083649837
10,498.7273909585821
11,512.654579743034
12,726.9732271009391
13,398.1986637872777
14,3000.0
15,360.9221329655069
16,1875.5291053397548
17,675.2048898768903
18,3000.0
19,288.80828140960705
2,64.65508384403837
20,28.836604066152795
21,17.440053707951236
22,133.10376582294538
23,65.09038519373247
24,23.850109073563438
25,203.10708489999857
26,378.0677335652032
27,67.15974992775921
28,30.549506264445963
29,125.08914376982825
3,47.99757872529391
30,984.5709918863798
31,25.68211878686206
32,50.19866704886475
33,54.247349241069394
34,79.36021903251938
35,25.210749534464878
36,73.05219563554994
37,19.826341860914603
38,192.28635007008887
39,348.82884807641295
4,37.56021004711694
40,103.56816869328262
41,893.9088947601826
42,34.99370662657465
43,2750.8908260280386
44,104.10223895701994
45,377.2722729647335
46,423.9543926159819
47,298.6769508716918
48,108.06254777319494
49,461.314839905432
5,56.15859121600522
50,329.8026052686791
51,66.07915957157925
52,30.23533944270248
53,35.49684145199452
54,3000.0
55,506.5729751950344
56,42.33070048822468
57,419.8075493946096
58,17.696036115646244
59,3000.0
6,97.9160577889914
7,120.56213738532463
8,36.424668893248835
9,116.10385465286241
