Row=0 OUT_DIR=/users/hiu-yeung.cheng/clusterlensing/out/row0 DE_PROCS=16 MCMC_PROCS=16
DEBUG: Initializing ClusterLensing with z_s_ref = 3.113991857128834
Setup complete. Lensing system initialized.
True time delays: [   0.         7937.43058949 8165.32085238 8246.53464227 8264.71813158]
True luminosity distances: 26588.384584025305
Lensed luminosity distances: [  8371.08696194   3609.39878488  10553.51456346  30488.6585142
 592056.8209638 ]

Running the full analysis pipeline...
--- Running DE for Cluster 0 ---
[DE] Process Pool with 16 procs (init=latinhypercube, popsize=50)
differential_evolution step 1: f(x)= 4242.640687119286
differential_evolution step 2: f(x)= 3000.0
differential_evolution step 3: f(x)= 3000.0
differential_evolution step 4: f(x)= 1042.8425432554307
differential_evolution step 5: f(x)= 1042.8425432554307
differential_evolution step 6: f(x)= 1042.8425432554307
differential_evolution step 7: f(x)= 1042.8425432554307
differential_evolution step 8: f(x)= 1042.8425432554307
differential_evolution step 9: f(x)= 1042.8425432554307
differential_evolution step 10: f(x)= 1042.8425432554307
differential_evolution step 11: f(x)= 1042.8425432554307
differential_evolution step 12: f(x)= 1042.8425432554307
differential_evolution step 13: f(x)= 1042.8425432554307
differential_evolution step 14: f(x)= 1042.8425432554307
differential_evolution step 15: f(x)= 1009.3360523346124
differential_evolution step 16: f(x)= 1009.3360523346124
differential_evolution step 17: f(x)= 805.7424385597772
differential_evolution step 18: f(x)= 805.7424385597772
differential_evolution step 19: f(x)= 805.7424385597772
differential_evolution step 20: f(x)= 805.7424385597772
differential_evolution step 21: f(x)= 91.50143014451308
differential_evolution step 22: f(x)= 91.50143014451308
differential_evolution step 23: f(x)= 91.50143014451308
differential_evolution step 24: f(x)= 91.50143014451308
differential_evolution step 25: f(x)= 91.50143014451308
differential_evolution step 26: f(x)= 91.50143014451308
differential_evolution step 27: f(x)= 91.50143014451308
differential_evolution step 28: f(x)= 91.50143014451308
differential_evolution step 29: f(x)= 91.50143014451308
differential_evolution step 30: f(x)= 91.50143014451308
differential_evolution step 31: f(x)= 91.50143014451308
differential_evolution step 32: f(x)= 91.50143014451308
differential_evolution step 33: f(x)= 91.50143014451308
differential_evolution step 34: f(x)= 91.50143014451308
differential_evolution step 35: f(x)= 40.72146370711111
differential_evolution step 36: f(x)= 40.72146370711111
differential_evolution step 37: f(x)= 40.72146370711111
differential_evolution step 38: f(x)= 40.72146370711111
differential_evolution step 39: f(x)= 40.72146370711111
differential_evolution step 40: f(x)= 40.72146370711111
differential_evolution step 41: f(x)= 40.72146370711111
differential_evolution step 42: f(x)= 40.72146370711111
differential_evolution step 43: f(x)= 40.72146370711111
differential_evolution step 44: f(x)= 40.72146370711111
differential_evolution step 45: f(x)= 40.72146370711111
differential_evolution step 46: f(x)= 40.72146370711111
differential_evolution step 47: f(x)= 40.72146370711111
differential_evolution step 48: f(x)= 40.72146370711111
differential_evolution step 49: f(x)= 40.72146370711111
differential_evolution step 50: f(x)= 40.72146370711111
differential_evolution step 51: f(x)= 40.72146370711111
differential_evolution step 52: f(x)= 40.72146370711111
differential_evolution step 53: f(x)= 40.72146370711111
differential_evolution step 54: f(x)= 40.72146370711111
differential_evolution step 55: f(x)= 40.72146370711111
differential_evolution step 56: f(x)= 40.72146370711111
differential_evolution step 57: f(x)= 40.72146370711111
differential_evolution step 58: f(x)= 40.72146370711111
differential_evolution step 59: f(x)= 40.72146370711111
differential_evolution step 60: f(x)= 40.72146370711111
differential_evolution step 61: f(x)= 40.72146370711111
differential_evolution step 62: f(x)= 40.72146370711111
differential_evolution step 63: f(x)= 40.72146370711111
differential_evolution step 64: f(x)= 40.72146370711111
differential_evolution step 65: f(x)= 40.72146370711111
differential_evolution step 66: f(x)= 40.72146370711111
differential_evolution step 67: f(x)= 39.268423410748476
differential_evolution step 68: f(x)= 39.268423410748476
differential_evolution step 69: f(x)= 39.268423410748476
differential_evolution step 70: f(x)= 39.268423410748476
differential_evolution step 71: f(x)= 39.268423410748476
differential_evolution step 72: f(x)= 39.268423410748476
differential_evolution step 73: f(x)= 39.268423410748476
differential_evolution step 74: f(x)= 39.268423410748476
differential_evolution step 75: f(x)= 39.268423410748476
differential_evolution step 76: f(x)= 6.947027463767764
differential_evolution step 77: f(x)= 6.947027463767764
differential_evolution step 78: f(x)= 6.947027463767764
differential_evolution step 79: f(x)= 6.947027463767764
differential_evolution step 80: f(x)= 6.947027463767764
differential_evolution step 81: f(x)= 6.947027463767764
differential_evolution step 82: f(x)= 6.947027463767764
differential_evolution step 83: f(x)= 6.947027463767764
differential_evolution step 84: f(x)= 6.947027463767764
differential_evolution step 85: f(x)= 6.947027463767764
differential_evolution step 86: f(x)= 6.947027463767764
differential_evolution step 87: f(x)= 6.947027463767764
differential_evolution step 88: f(x)= 6.947027463767764
differential_evolution step 89: f(x)= 6.947027463767764
differential_evolution step 90: f(x)= 6.947027463767764
differential_evolution step 91: f(x)= 6.947027463767764
differential_evolution step 92: f(x)= 6.947027463767764
differential_evolution step 93: f(x)= 6.947027463767764
differential_evolution step 94: f(x)= 6.947027463767764
differential_evolution step 95: f(x)= 6.947027463767764
differential_evolution step 96: f(x)= 6.947027463767764
differential_evolution step 97: f(x)= 6.947027463767764
differential_evolution step 98: f(x)= 6.947027463767764
differential_evolution step 99: f(x)= 6.947027463767764
differential_evolution step 100: f(x)= 6.947027463767764
differential_evolution step 101: f(x)= 6.947027463767764
