Row=58 OUT_DIR=/users/hiu-yeung.cheng/clusterlensing/out/row58 DE_PROCS=16 MCMC_PROCS=16
Setup complete. Lensing system initialized.
True time delays: [    0.         16699.65182584 18064.55448274 18260.03947691
 18419.12751428]
True luminosity distances: 24882.840888079583
Lensed luminosity distances: [ 7863.91775147  3516.99122392  4908.05148428  5588.62842075
 18266.44258244]

Running the full analysis pipeline...
--- Running DE for Cluster 0 ---
[DE] Process Pool with 16 procs (init=latinhypercube, popsize=50)
differential_evolution step 1: f(x)= 4242.640687119286
differential_evolution step 2: f(x)= 4242.640687119286
differential_evolution step 3: f(x)= 4242.640687119286
differential_evolution step 4: f(x)= 3000.0
differential_evolution step 5: f(x)= 3000.0
differential_evolution step 6: f(x)= 3000.0
differential_evolution step 7: f(x)= 3000.0
differential_evolution step 8: f(x)= 1173.0194971028507
differential_evolution step 9: f(x)= 1173.0194971028507
differential_evolution step 10: f(x)= 276.6164414957904
differential_evolution step 11: f(x)= 276.6164414957904
differential_evolution step 12: f(x)= 276.6164414957904
differential_evolution step 13: f(x)= 276.6164414957904
differential_evolution step 14: f(x)= 276.6164414957904
differential_evolution step 15: f(x)= 276.6164414957904
differential_evolution step 16: f(x)= 276.6164414957904
differential_evolution step 17: f(x)= 276.6164414957904
differential_evolution step 18: f(x)= 276.6164414957904
differential_evolution step 19: f(x)= 276.6164414957904
differential_evolution step 20: f(x)= 238.14877977250268
differential_evolution step 21: f(x)= 238.14877977250268
differential_evolution step 22: f(x)= 238.14877977250268
differential_evolution step 23: f(x)= 238.14877977250268
differential_evolution step 24: f(x)= 238.14877977250268
differential_evolution step 25: f(x)= 238.14877977250268
differential_evolution step 26: f(x)= 238.14877977250268
differential_evolution step 27: f(x)= 161.47314978766312
differential_evolution step 28: f(x)= 161.47314978766312
differential_evolution step 29: f(x)= 161.47314978766312
differential_evolution step 30: f(x)= 161.47314978766312
differential_evolution step 31: f(x)= 161.47314978766312
differential_evolution step 32: f(x)= 161.47314978766312
differential_evolution step 33: f(x)= 161.47314978766312
differential_evolution step 34: f(x)= 161.47314978766312
differential_evolution step 35: f(x)= 161.47314978766312
differential_evolution step 36: f(x)= 161.47314978766312
differential_evolution step 37: f(x)= 161.47314978766312
differential_evolution step 38: f(x)= 137.41842911846817
differential_evolution step 39: f(x)= 137.41842911846817
