Row=45 OUT_DIR=/users/hiu-yeung.cheng/clusterlensing/out/row45 DE_PROCS=16 MCMC_PROCS=16
Setup complete. Lensing system initialized.
True time delays: [    0.         25129.58326641 33631.34725549 33899.45849094
 35596.41137559]
True luminosity distances: 21848.328084537843
Lensed luminosity distances: [ 5956.27753183  5557.88546079 12032.96134407 20933.82755112
  8483.90600626]

Running the full analysis pipeline...
--- Running DE for Cluster 0 ---
[DE] Process Pool with 16 procs (init=latinhypercube, popsize=50)
differential_evolution step 1: f(x)= 3000.0
differential_evolution step 2: f(x)= 3000.0
differential_evolution step 3: f(x)= 3000.0
differential_evolution step 4: f(x)= 3000.0
differential_evolution step 5: f(x)= 3000.0
differential_evolution step 6: f(x)= 3000.0
differential_evolution step 7: f(x)= 3000.0
differential_evolution step 8: f(x)= 3000.0
differential_evolution step 9: f(x)= 3000.0
differential_evolution step 10: f(x)= 3000.0
differential_evolution step 11: f(x)= 3000.0
differential_evolution step 12: f(x)= 3000.0
differential_evolution step 13: f(x)= 3000.0
differential_evolution step 14: f(x)= 3000.0
differential_evolution step 15: f(x)= 3000.0
differential_evolution step 16: f(x)= 3000.0
differential_evolution step 17: f(x)= 3000.0
differential_evolution step 18: f(x)= 3000.0
differential_evolution step 19: f(x)= 3000.0
differential_evolution step 20: f(x)= 3000.0
differential_evolution step 21: f(x)= 3000.0
differential_evolution step 22: f(x)= 3000.0
differential_evolution step 23: f(x)= 2672.690824899042
differential_evolution step 24: f(x)= 2672.690824899042
differential_evolution step 25: f(x)= 2672.690824899042
differential_evolution step 26: f(x)= 2334.7551862318137
differential_evolution step 27: f(x)= 2334.7551862318137
differential_evolution step 28: f(x)= 2334.7551862318137
differential_evolution step 29: f(x)= 2334.7551862318137
differential_evolution step 30: f(x)= 2334.7551862318137
differential_evolution step 31: f(x)= 2334.7551862318137
differential_evolution step 32: f(x)= 2334.7551862318137
differential_evolution step 33: f(x)= 2334.7551862318137
differential_evolution step 34: f(x)= 2334.7551862318137
differential_evolution step 35: f(x)= 2334.7551862318137
differential_evolution step 36: f(x)= 2334.7551862318137
differential_evolution step 37: f(x)= 2334.7551862318137
differential_evolution step 38: f(x)= 2334.7551862318137
differential_evolution step 39: f(x)= 2334.7551862318137
differential_evolution step 40: f(x)= 2334.7551862318137
differential_evolution step 41: f(x)= 2334.7551862318137
differential_evolution step 42: f(x)= 2334.7551862318137
differential_evolution step 43: f(x)= 2334.7551862318137
differential_evolution step 44: f(x)= 2334.7551862318137
differential_evolution step 45: f(x)= 2334.7551862318137
differential_evolution step 46: f(x)= 2334.7551862318137
differential_evolution step 47: f(x)= 2334.7551862318137
differential_evolution step 48: f(x)= 2334.7551862318137
differential_evolution step 49: f(x)= 2334.7551862318137
